team_id,last_game_date,elo_pre,avg_pts_for_last5,avg_pts_against_last5,win_pct_last5,netrtg_last10,efg_last10,tov_pct_last10,orb_pct_last10,ftr_last10
1610610032,1949-03-17,1260.7981911989016,73.0,84.2,0.0,,,,,
1610610033,1950-03-25,1376.2102000172338,80.4,83.2,0.2,,,,,
1610610034,1950-03-19,1429.8305618411653,75.6,77.4,0.6,,,,,
1610610035,1947-03-29,1385.980178135433,64.2,71.2,0.2,,,,,
1610610036,1951-01-09,1333.3730705927685,79.8,89.8,0.2,,,,,
1610610037,1950-03-19,1407.4700532175248,84.8,79.4,0.6,,,,,3.442105263157895
1610612737,2023-04-27,1479.6977227835393,119.2,123.0,0.4,-0.6685002674001055,0.5485592315901814,0.1205622819618305,0.24507658643326038,0.22198505869797225
1610612738,2023-05-29,1655.4543572295984,103.2,106.0,0.6,-0.625860558267604,0.5253317249698432,0.11969449405327354,0.2357142857142857,0.2677925211097708
1610612739,2023-04-26,1510.3309851941838,94.2,99.6,0.2,-1.4409815142657152,0.5386007237635706,0.13702801461632155,0.21375921375921375,0.2135102533172497
1610612740,2023-04-09,1567.6455050283594,116.8,116.8,0.6,8.060235516149959,0.557012542759407,0.12456536545148222,0.24181360201511334,0.2588369441277081
1610612741,2023-04-09,1565.2373792235203,108.6,105.6,0.6,6.04460921601418,0.5637813211845103,0.09816506833798988,0.1792452830188679,0.20045558086560364
1610612742,2023-04-09,1383.5332935906977,120.8,126.6,0.2,-2.930603313535471,0.576271186440678,0.09974509586611992,0.14516129032258066,0.2305084745762712
1610612743,2023-06-12,1781.8333813755148,104.6,96.4,0.8,9.381058600346051,0.5643028846153846,0.11164122137404581,0.24155844155844156,0.2704326923076923
1610612744,2023-05-12,1591.027549195143,109.4,111.8,0.4,-0.7731859125526768,0.5232804232804232,0.11838177263836942,0.2673684210526316,0.19894179894179895
1610612745,2023-04-09,1366.7676079126215,116.0,114.0,0.8,-7.895931621232151,0.5246981339187706,0.1237453595490169,0.3227176220806794,0.2711306256860593
1610612746,2023-04-25,1510.3969409281988,115.6,122.0,0.2,-3.037190892346274,0.5363941769316909,0.11921876643641081,0.26146788990825687,0.284434490481523
1610612747,2023-05-22,1582.8613562509224,114.0,114.6,0.2,-0.7002380809475284,0.5335294117647059,0.09537345251898119,0.18421052631578946,0.31411764705882356
1610612748,2023-06-12,1615.5976839059542,96.4,104.6,0.2,-2.883999145481738,0.508177570093458,0.10305902296193559,0.21541950113378686,0.19976635514018692
1610612749,2023-04-26,1523.3603784400234,118.8,124.0,0.2,-2.6077382217157066,0.5726970033296337,0.13016710642040458,0.23006833712984054,0.22197558268590456
1610612750,2023-04-25,1495.1863374147956,105.4,114.2,0.2,-2.7699186831015226,0.5456140350877193,0.12256695448558466,0.2,0.2771929824561403
1610612751,2023-04-22,1433.7497604983714,95.0,109.8,0.0,-2.9847059550029797,0.5258724428399518,0.11754587155963302,0.17906976744186046,0.2527075812274368
1610612752,2023-05-12,1588.4023424914094,100.4,103.6,0.4,0.0,0.4944306930693069,0.1351200238556732,0.2997601918465228,0.3378712871287129
1610612753,2023-04-09,1438.15008269393,105.8,112.2,0.2,-0.1951447974397098,0.5347222222222222,0.13902752031940682,0.22565320665083136,0.26851851851851855
1610612754,2023-04-09,1358.2987976906277,122.2,125.6,0.4,-8.23162077774623,0.558361391694725,0.13596310064711553,0.24708624708624707,0.2884399551066218
1610612755,2023-05-14,1619.5826167662553,101.4,107.8,0.4,-3.8976908815101865,0.5011976047904192,0.12125725633974944,0.22588235294117648,0.23233532934131737
1610612756,2023-05-11,1557.1004857790504,107.8,115.6,0.4,-1.9999600007999874,0.5538373424971363,0.11237392194123667,0.236318407960199,0.2565864833906071
1610612757,2023-04-09,1241.8975079119282,113.8,129.2,0.2,-20.06566946369938,0.5049668874172185,0.12205044751830756,0.17758985200845667,0.217439293598234
1610612758,2023-04-30,1514.4745848998593,111.2,116.4,0.2,-5.268199233716487,0.4879958246346555,0.11296314891053319,0.29959514170040485,0.24217118997912318
1610612759,2023-04-09,1334.0089220286236,126.8,128.8,0.6,-11.793539351723894,0.5201030927835052,0.11151055189401504,0.22614107883817428,0.2288659793814433
1610612760,2023-04-09,1525.1921846276348,117.8,116.6,0.4,-1.6574693368172717,0.5157952069716776,0.09928929765886287,0.2543478260869565,0.2875816993464052
1610612761,2023-04-09,1600.9952070677568,112.8,106.2,0.6,6.83422416255253,0.521598272138229,0.08969575200918484,0.2888402625820569,0.21814254859611232
1610612762,2023-04-09,1382.6011118913748,115.2,120.4,0.2,-6.864256967690977,0.5284334763948498,0.12441626614854961,0.24663677130044842,0.23283261802575106
1610612763,2023-04-28,1543.1341279424717,103.2,109.0,0.4,-3.2621418839828777,0.505801687763713,0.11017386813565158,0.25101214574898784,0.20569620253164558
1610612764,2023-04-09,1375.2191565710636,115.2,122.8,0.2,-3.6796033774885757,0.5491803278688525,0.115073787772312,0.2234513274336283,0.22950819672131148
